영상ID,제목,조회수,댓글수,좋아요수,썸네일,영상설명,바이럴지표
ZxVjdClv1uE,간만에 모동숲 켰더니 웬 무지개색 햄스터가 이사 왔네요 ㅇ_ㅇa [지컨],1519303,681,16648,https://i.ytimg.com/vi/ZxVjdClv1uE/hqdefault.jpg,"#모동숲 #모여봐요동물의숲 #미애
 
 1티어 주민이 뭔지도 모르는 즐겜러 메타를 한번 연기해보세요
 운이 좋아지실지도 🤶
 
 해당 생방송 스트리밍 날짜 - 211106, 211111 https://youtu.be/TMY0gsVGzHc https://youtu.be/g4hPrBXzjgQ
 지컨 유튜브 생방송 - https://bit.ly/2kyCIWu
 지컨 팬 카페로 놀러 오세요! - http://cafe.daum.net/zkern
 멤버십 구독해주세요 - 
 https://www.youtube.com/channel/UC0z8bddfRBRBmEC-AjI6UXw/join
 지컨 인스타그램 https://www.instagram.com/zkern_official/
 
 편집: 찐빵찰스",6.81E+14
GS8cln2QxL0,비인기 주민 시점으로 보는 모동숲 🥺,2453688,667,60863,https://i.ytimg.com/vi/GS8cln2QxL0/hqdefault.jpg,#shorts,6.68E+14
xHgjyjV1c8c,동물의 숲 시리즈에 나온 모든 캐릭터의 인기 순위를 알아보자! 【모동숲】,1050287,6370,8630,https://i.ytimg.com/vi/xHgjyjV1c8c/hqdefault.jpg,"모동숲(모여봐요 동물의숲) 유튜버 쏨이 & 땀이 채널 입니다.
 あつ森（あつまれどうぶつの森）YouTuber ソミ、ダミのチャンネルでございます。
 ACNH(animal crossing new horizons) YouTuber Ssomi & Ddami Channel.
 
 이 영상은 2020년 4월 8일 PM 8시의 랭킹 기준으로 제작되어서 차후 순위가 조금씩 달라질 수 있는 점 이해 부탁드려여~
 - 출처 : 하토님이 제작하신 동물의숲 이상형 월드컵 랭킹 (https://www.piku.co.kr/w/rank/8Zj1E8)
 
 💬 ENG SUB / 日本語字幕（じまく）
 📧 Email : ssomddamtv@naver.com
 🚫 영상 무단 사용 금지
 
 #あつ森 #acnh #모동숲 #동물의숲 #동숲",6.37E+14
AanZknmSOHs,이사 노가다로 모든 주민 갈아엎었습니다.,1858308,595,12820,https://i.ytimg.com/vi/AanZknmSOHs/hqdefault.jpg,"어서 오렴
 
 #동물의숲 #모동숲 #모여봐요동물의숲
 
 🏝섬 이름 : 아보카도🥑 / 마라도
 👩주민대표 : 아오니
 🌙꿈번지 : DA-2528-5743-8067 / (생성 예정)
 🌙해피홈 : RA-1157-2190-7226
 🌟‍인스타그램 : aonioni_
 
 ---
 
 [BGM 출처]
 🎵Music provided by 브금대통령
 🎵Track : 와 이거 뭔데 - https://youtu.be/7zswBFefpLU
 🎵Track : 이게 머선129 - https://youtu.be/gOtwGaQUbzM
 🎵Track : 오리가족의 외출 - https://youtu.be/g84nkO4afvM
 🎵Track : 뚱이는 못말려 - https://youtu.be/650XS7TLVvY
 🎵Track : 뚱땅뚱땅 - https://youtu.be/tIiIUMA3wqA​
 🎵Track : 귀여운 BGM 모음 2 - https://youtu.be/Gkh-wz-cHyg
 🎵Track : 아기 고양이 - https://youtu.be/1rL7sardFIU",5.95E+14
EApt3Y55BuY,모동숲 특,1724787,550,47868,https://i.ytimg.com/vi/EApt3Y55BuY/hqdefault.jpg,"야 너두?
 
 #shorts #동물의숲 #게임",5.50E+14
AgLiI78pd6Q,모동숲 인기주민 랭킹 해외판,1104584,522,27852,https://i.ytimg.com/vi/AgLiI78pd6Q/hqdefault.jpg,"#Shorts #모동숲 #동물의숲 
 -
 ♥로나딩 유튜브 멤버십https://www.youtube.com/channel/UCg7ZESiNqxYUeJilJR4_Y1w/join
 - 구독뱃지&구독티콘 사용, 생방송 다시보기 시청 가능!
 ♥로나딩 트위치 생방송 https://www.twitch.tv/s_s_you
 ♥로나딩 후원 https://toon.at/donate/637204765074825066
 ♥로나딩 팬심 https://fancim.me/celeb/profile.aspx?cu_id=melona
 ♥로나딩 이메일 tvmelona@gmail.com
 
 ♥편집딩 : 로나딩",5.22E+14
rp1einzETYA,"모동숲 역사상, 이런 상금은 없었습니다.",1154155,507,10919,https://i.ytimg.com/vi/rp1einzETYA/hqdefault.jpg,"단, 1등 만을 위한 게임
 
 #동물의숲 #모동숲 #모여봐요동물의숲
 
 🏝섬 이름 : 아보카도🥑 / 마라도
 👩주민대표 : 아오니
 🌙꿈번지 : DA-2528-5743-8067 / (생성 예정)
 🌙해피홈 : RA-1157-2190-7226
 🌟‍인스타그램 : aonioni_
 
 ---
 
 [타임라인]
 00:00 게임 준비
 04:37 게임 시작
 10:57 결승전&상금 지급
 
 ---
 
 [BGM 출처]
 🎵Music provided by 브금대통령
 🎵Track : 나는야 장난꾸러기 - https://youtu.be/MYLjqNApdTE
 🎵Track : 와 이거 뭔데 - https://youtu.be/7zswBFefpLU
 🎵Track : 귀여운 BGM 모음 2 - https://youtu.be/Gkh-wz-cHyg
 🎵Track : 에어컨 아래에서 - https://youtu.be/f8nd8Fq90lU
 🎵Track : 서리는 졸려요 - https://youtu.be/qQFY87FfZGU
 🎵Track : 오리가족의 외출 - https://youtu.be/g84nkO4afvM
 🎵Track : 아기 고양이 - https://youtu.be/1rL7sardFIU
 🎵Track : 무궁화 꽃이 피었습니다 - https://youtu.be/Y8jh4gBETos",5.07E+14
SNBaIAvKxU4,"모동숲 업데이트 첫 날, 너굴이한테 또 털렸습니다... | 모동숲 일상 | ACNH",1172792,499,10661,https://i.ytimg.com/vi/SNBaIAvKxU4/hqdefault.jpg,"너굴 인성 스뤠기
 
 #동물의숲 #모동숲 #모여봐요동물의숲 #ACNH
 
 🏝섬 이름 : 아보카도🥑 (Abcado)
 👩주민대표 : 아오니 (Aoni)
 🌙꿈번지 : DA-2528-5743-8067
 🌟‍인스타그램 : aonioni_
 
 ----
 
 [타임라인]
 00:00 인트로
 00:54 주위 둘러보기
 03:36 마일 아이템 둘러보기
 10:10 조례 지정하기
 11:32 자잘한 업데이트들
 
 ---
 
 [BGM 출처]
 🎵Music provided by 브금대통령 
 🎵Track : 귀여운 BGM 모음 2 - https://youtu.be/Gkh-wz-cHyg
 
 [음성 출처]
 본 음성은 인공지능 성우 서비스 타입캐스트에서 제작되었습니다.
 인공지능 성우 하준, 삐뚤어진 찬구",4.99E+14
mdvkohJDZaA,모동숲 가장 비싼 아이템 TOP10 #shorts,1315055,458,30725,https://i.ytimg.com/vi/mdvkohJDZaA/hqdefault.jpg,,4.58E+14
29433-yuaO4,엄마의 편지 속 감동적인 디테일 (동숲),1309494,433,42657,https://i.ytimg.com/vi/29433-yuaO4/hqdefault.jpg,,4.33E+14
9QNvmSbtv_Y,[모동숲] 주민 차별 이래도 되는거임? #shorts,1487920,424,47417,https://i.ytimg.com/vi/9QNvmSbtv_Y/hqdefault.jpg,#사회인게임클럽 #사인클 #shorts #모동숲 #모여봐요동물의숲 #동물의숲 #동숲 #acnh #인성 #동숲주민 #애플이,4.24E+14
RLAeqeX1FAo,☃️𝘸𝘪𝘯𝘵𝘦𝘳 𝘷𝘪𝘣𝘦𝘴... 🌨️ 𝘣𝘦𝘴𝘵 𝘢𝘯𝘪𝘮𝘢𝘭 𝘤𝘳𝘰𝘴𝘴𝘪𝘯𝘨 𝘮𝘶𝘴𝘪𝘤 𝘧𝘰𝘳 𝘴𝘭𝘦𝘦𝘱 (𝘴𝘭𝘰𝘸𝘦𝘥 + 𝘳𝘦𝘷𝘦𝘳𝘣 + 𝘴𝘯𝘰𝘸𝘧𝘢𝘭𝘭 𝘴𝘰𝘶𝘯𝘥),1199931,410,37510,https://i.ytimg.com/vi/RLAeqeX1FAo/hqdefault.jpg,Another AC mix! this time with winter/ Christmas vibes 🌨️,4.10E+14
8sRIZXDvqVA,[모동숲] 벌집을 구멍에 빠뜨리면...??!,1466200,378,16500,https://i.ytimg.com/vi/8sRIZXDvqVA/hqdefault.jpg,"모동숲(모여봐요 동물의숲) 유튜버 쏨이 & 땀이 채널 입니다.
 あつ森（あつまれどうぶつの森）YouTuber ソミ、ダミのチャンネルでございます。
 ACNH(animal crossing new horizons) YouTuber Ssomi & Ddami Channel.
 
 💬 ENG SUB / 日本語字幕（じまく）
 📧 Email : ssomddamtv@naver.com
 🚫 영상 무단 사용 금지
 
 #あつ森 #acnh #모동숲 #동물의숲 #동숲",3.78E+14
LEMUaRZlPE8,귀가 계속 흔들리는 토끼 주민들 🐰 (모동숲),1575820,369,47952,https://i.ytimg.com/vi/LEMUaRZlPE8/hqdefault.jpg,#모동숲 #샐리의모동숲 #모여봐요동물의숲 #동물의숲 #shorts,3.69E+14
PoYqY8H-Y8s,"빚 독촉장으로 가득해진 섬, 원상복구 노동 들어갑니다",1060286,356,15413,https://i.ytimg.com/vi/PoYqY8H-Y8s/hqdefault.jpg,"영악한 너굴이 자식
 
 #아오니 #동물의숲 #모동숲 
 
 🏝섬 이름 : 아보카도🥑 / 마라도
 👩주민대표 : 아오니
 🌙꿈번지 : DA-2528-5743-8067 / DA-6351-3927-7264
 🌙해피홈 : RA-1157-2190-7226
 🌟‍인스타그램 : aonioni_
 🌟‍팬카페 : https://cafe.naver.com/aonioni
 
 [BGM 출처]
 🎵Music provided by 브금대통령
 🎵Track : 귀여운 BGM 모음 2 - https://youtu.be/Gkh-wz-cHyg
 🎵Track : 웃기고있네 - https://youtu.be/aY7VLF71pNM
 🎵Track : 도둑의 계획 - https://youtu.be/CKuI-6-Izhc
 🎵Track : 와 이거 뭔데 - https://youtu.be/7zswBFefpLU
 🎵Track : 이게 머선129 - https://youtu.be/gOtwGaQUbzM
 🎵Track : Monkey's Meal - https://youtu.be/UnKP6YcVFsQ
 🎵Track : 안졸리나 졸리다 - https://youtu.be/NNKNQMeWhm4
 🎵Track : 사랑의 연 - https://youtu.be/v1eemRhj7ww
 🎵Track : 오리가족의 외출 - https://youtu.be/g84nkO4afvM
 🎵Track : 음악시간 - https://youtu.be/gJk4hr3r26E
 🎵Track : 펭귄의 비행 - https://youtu.be/ZW_msPN4GJw
 🎵Track : 집순이 - https://youtu.be/uiTv6WCOrAU",3.56E+14
8ob1MFtcc8U,모동숲으로 보는 편의점 알바 손님 유형ㅋㅋ #Shorts,1574319,347,55824,https://i.ytimg.com/vi/8ob1MFtcc8U/hqdefault.jpg,"편의점 알바 했을때의 기억들을 살려서~ 쇼츠 컨텐츠로 만들어봤어요 ㅎㅎ
 반응 좋으면 2탄 나올지도..?!
 #Shorts #모동숲 #닌텐도
 -
 ♥로나딩 유튜브 멤버십https://www.youtube.com/channel/UCg7ZESiNqxYUeJilJR4_Y1w/join
 - 구독뱃지&구독티콘 사용, 생방송 다시보기 시청 가능!
 ♥로나딩 트위치 생방송 https://www.twitch.tv/s_s_you
 ♥로나딩 후원 https://toon.at/donate/637204765074825066
 ♥로나딩 팬심 https://fancim.me/celeb/profile.aspx?cu_id=melona
 ♥로나딩 이메일 tvmelona@gmail.com
 
 ♥편집딩 : 로나딩",3.48E+14
nuh-XDisDpE,모동숲 고인물이 벌 피하는 법#shorts,1280014,333,34527,https://i.ytimg.com/vi/nuh-XDisDpE/hqdefault.jpg,,3.33E+14
TIcJvqA27OM,오싹오싹한 모동숲 디테일,1685092,247,48693,https://i.ytimg.com/vi/TIcJvqA27OM/hqdefault.jpg,,2.47E+14
8oBrf-yYQ-g,모동숲 인기 주민들이 모여있는 고양이 종족의 비밀,1025024,240,32416,https://i.ytimg.com/vi/8oBrf-yYQ-g/hqdefault.jpg,#모동숲,2.40E+14
9cV8kr7rpnA,모동숲에 과몰입 하게 되는 이유,1123725,236,36645,https://i.ytimg.com/vi/9cV8kr7rpnA/hqdefault.jpg,,2.36E+14
ofOQQXqINU0,"모동숲 최고 인기주민 마일섬에서 데려오기!! [잭슨, 미애]",534670,1935,12459,https://i.ytimg.com/vi/ofOQQXqINU0/hqdefault.jpg,"모여봐요 동물의 숲 제가 제일 사랑하는 잭슨과 또니가 제일 사랑하는 미애를 둘 다 마일섬에서 데려오는 행운아 그건 바로 나
 ----------------------------------------­----------
 
 ▷잠뜰 TV 구독하기 ! : http://goo.gl/FnZZQO
 
 ▷잠뜰TV 커뮤니티 바로가기 !! : https://goo.gl/72qMP4
 
 ▷잠뜰 인스타그램 소식보기 !! : https://goo.gl/cMDSJ7
 
 ----------------------------------------­----------
 
 
 
 ▶구독하기❤& 좋아요👍버튼은 잠뜰이에게 큰 힘이 됩니다 :D",1.94E+14
DIroGR71D1A,모동숲 넘어졌을때 주민 반응은? #shorts,2501701,193,46868,https://i.ytimg.com/vi/DIroGR71D1A/hqdefault.jpg,"#동물의숲 #버튜버 #냐무야호
 
 ♥냐무야호 트위치 https://www.twitch.tv/nyamuyaho
 ♥냐무야호 유튜브 https://www.youtube.com/channel/UCjfdNCpR68Bx82OvrxtaUrQ
 ♥후원 : https://twip.kr/nyamuyaho
 ♥메일 : nyamuyaho@gmail.com
 ♥디스코드 : https://discord.com/invite/fnEQvhjMyE
 
 모동숲, 별의커비, 링피트, 스팀게임 등! 종겜 스트리머 냐무야호입니다!",1.93E+14
-Dqy1nXnzwc,모동숲 접는 이유 #Shorts,3913174,187,54948,https://i.ytimg.com/vi/-Dqy1nXnzwc/hqdefault.jpg,"#동숲 #동물의숲 #모여봐요동물의숲
 
 
 ◆ 비즈니스 문의 : ad@lolq.co.kr
 ◆ 개인 문의 : kbd2018@naver.com
 ◆ 트위치 생방송 : https://www.twitch.tv/kimbangduck
 ◆ 인스타 : gyeonmoung
 ◆ 팬카페 : https://cafe.naver.com/gyeonnim",1.88E+14
Iv7aE4zUlUE,동물의숲 저주받은 아이템 [모동숲 괴담 검은닌텐도] #Shorts,1409356,165,32060,https://i.ytimg.com/vi/Iv7aE4zUlUE/hqdefault.jpg,"벽지속 귀신은 누구일까요?!
 #Shorts #모동숲 #괴담 
 -
 ♥로나딩 유튜브 멤버십https://www.youtube.com/channel/UCg7ZESiNqxYUeJilJR4_Y1w/join
 - 구독뱃지&구독티콘 사용, 생방송 다시보기 시청 가능!
 ♥로나딩 트위치 생방송 https://www.twitch.tv/s_s_you
 ♥로나딩 후원 https://toon.at/donate/637204765074825066
 ♥로나딩 팬심 https://fancim.me/celeb/profile.aspx?cu_id=melona
 ♥로나딩 이메일 tvmelona@gmail.com
 
 ♥편집딩 : 로나딩",1.65E+14
ti0Ep68vI78,모동숲 원하는주민 모으는 방법 - 초반에 할 수 있는 주민 노가다,932178,1419,10386,https://i.ytimg.com/vi/ti0Ep68vI78/hqdefault.jpg,"모여봐요 동물의 숲 원하는 주민 모으는 방법 에 대해서 다뤄봤습니다.
 
 주민 데려오기 영상 1탄
 
 이번 영상은 초기 주민 3명 이사올 때 하는 주민 노가다
 처음 입주 주민 2명 노가다 방법입니다.
 
 주민의 성격 고정 
 먹보/운동광/무뚝뚝/느끼함
 친절함/아이돌/성숙함/단순활발로 구성되어있습니다.
 
 성격 고정에 대한 정보가 들어가 있습니다.
 
 블로그 : https://s309001.tistory.com/7
 제보 및 문의 : s309001@naver.com",1.42E+14
Tl9QIENQbuY,이상한 인기 주민 이사왔다 ㅋㅋ 낚시 대회 ! 힐링갓겜 아님? 노가다 게임 동물의숲 ? ㅋㅋ 버섯도리 스위치 모동숲,2125277,1111,8283,https://i.ytimg.com/vi/Tl9QIENQbuY/hqdefault.jpg,"버섯 섬 주인은 엄마인데… 버섯섬에 새로 이사온 주민이 있어요 ㅋㅋㅋ 강력한 라이벌이 등장했습니다. 이미 집 2채, 텐트가 2개인데 ㅋㅋ 
 오자마자 리더를 하겠다고 낚시 대결을 신청하네요 ㅎㅎ 과연 누가 이길까요? 
 오늘도 재미있게 봐주세요 !!
 
 버섯도리 Mushroom boy
 
 #인기주민, #주민이사, #동물의숲",1.11E+14
YtSSv1nMIw4,아무도 몰랐던 모동숲 사소한 디테일3,1341505,105,33729,https://i.ytimg.com/vi/YtSSv1nMIw4/hqdefault.jpg,"금고..?
 #Shorts #모동숲 #닌텐도
 -
 ♥로나딩 유튜브 멤버십https://www.youtube.com/channel/UCg7ZESiNqxYUeJilJR4_Y1w/join
 - 구독뱃지&구독티콘 사용, 생방송 다시보기 시청 가능!
 ♥로나딩 트위치 생방송 https://www.twitch.tv/s_s_you
 ♥로나딩 후원 https://toon.at/donate/637204765074825066
 ♥로나딩 팬심 https://fancim.me/celeb/profile.aspx?cu_id=melona
 ♥로나딩 이메일 tvmelona@gmail.com
 
 ♥편집딩 : 로나딩",1.05E+14
WC8dCUZ2xQA,모동숲 비인기주민 랭킹,548582,960,12417,https://i.ytimg.com/vi/WC8dCUZ2xQA/hqdefault.jpg,"#Shorts #모동숲 #동물의숲 
 -
 ♥로나딩 유튜브 멤버십https://www.youtube.com/channel/UCg7ZESiNqxYUeJilJR4_Y1w/join
 - 구독뱃지&구독티콘 사용, 생방송 다시보기 시청 가능!
 ♥로나딩 트위치 생방송 https://www.twitch.tv/ronading
 ♥로나딩 후원 https://toon.at/donate/637204765074825066
 ♥로나딩 팬심 https://fancim.me/celeb/profile.aspx?cu_id=melona
 ♥로나딩 이메일 tvmelona@gmail.com
 
 ♥편집딩 : 로나딩",9.60E+13
2ZZjRrUQrhw,싫어하는 모동숲 주민 무조건 이사보내는 방법 #Shorts,1080516,68,17640,https://i.ytimg.com/vi/2ZZjRrUQrhw/hqdefault.jpg,"#모동숲 #동물의숲 #모여봐요동물의숲
 
 
 ◆ 비즈니스 문의 : ad@lolq.co.kr
 ◆ 개인 문의 : kbd2018@naver.com
 ◆ 트위치 생방송 : https://www.twitch.tv/kimbangduck
 ◆ 인스타 : gyeonmoung
 ◆ 팬카페 : https://cafe.naver.com/gyeonnim",6.82E+13
oW1mny-0BmU,모동숲 인기주민 랭킹,659754,591,20840,https://i.ytimg.com/vi/oW1mny-0BmU/hqdefault.jpg,"#Shorts #모동숲 #동물의숲 
 -
 ♥로나딩 유튜브 멤버십https://www.youtube.com/channel/UCg7ZESiNqxYUeJilJR4_Y1w/join
 - 구독뱃지&구독티콘 사용, 생방송 다시보기 시청 가능!
 ♥로나딩 트위치 생방송 https://www.twitch.tv/s_s_you
 ♥로나딩 후원 https://toon.at/donate/637204765074825066
 ♥로나딩 팬심 https://fancim.me/celeb/profile.aspx?cu_id=melona
 ♥로나딩 이메일 tvmelona@gmail.com
 
 ♥편집딩 : 로나딩",5.91E+13
xnRGxKwQJsY,쭈니를 보내게 됐습니다..,951072,539,10364,https://i.ytimg.com/vi/xnRGxKwQJsY/hqdefault.jpg,"안녕 MY FRIEND
 
 #동물의숲 #모동숲
 
 🏝섬 이름 : 아보카도🥑 / 마라도
 👩주민대표 : 아오니
 🌙꿈번지 : DA-2528-5743-8067 / DA-6351-3927-7264
 🌙해피홈 : RA-1157-2190-7226
 🌟‍인스타그램 : aonioni_
 🌟‍팬카페 : https://cafe.naver.com/aonioni
 
 [BGM 출처]
 🎵Music provided by 브금대통령
 🎵Track : 웃기고있네 - https://youtu.be/aY7VLF71pNM
 🎵Track : 3월의 불멍 - https://youtu.be/E5Veny7_QkQ
 🎵Track : Black Comedy 3 - https://youtu.be/NQkMpz36Tas​
 🎵Track : Awake - https://youtu.be/Gqo0xG9y2t0
 🎵Track : 펭귄의 비행 - https://youtu.be/ZW_msPN4GJw
 🎵Track : 와 이거 뭔데 - https://youtu.be/7zswBFefpLU
 
 Song : ODT SOUND - with my puppy
 Follow Artist : https://www.youtube.com/user/jjumini 
 Music promoted by DayDreamSound : https://youtu.be/Mk8SP4eixq4",5.39E+13
9K5cGVqhAmo,"불행 서사 다 때려박은 주민, 내가 크리스를 챙겨주는 이유...😢 [모동숲]",795192,533,11887,https://i.ytimg.com/vi/9K5cGVqhAmo/hqdefault.jpg,"#동물의숲 #모동숲 #모여봐요동물의숲
 🖤풀버전 보러 ㄱrブl 📅 211216 https://youtu.be/GWLwzfr7Z4I
 🤍スΙ컨 생방송 ㉰㉦ㅣ 보㉠ㅣhttps://bit.ly/2kyCIWu
 🖤팬 ㅋΓ페로 놀ㄹ┥ 와...。http://cafe.daum.net/zkern
 🤍멤버십 フト입ㅎΗ丕 https://www.youtube.com/channel/UC0z8bddfRBRBmEC-AjI6UXw/join
 🖤しΗ 사생활Ｏ| 궁금㉭ㅐ...? https://www.instagram.com/zkern_official/
 
 🤍편집: 찐빵찰스",5.33E+13
tI8n8LxhkPY,뽀야미 유배 보내려고 무인도를 만들었어요 ㅋㅋㅋㅋㅋㅋㅋ,932594,472,12436,https://i.ytimg.com/vi/tI8n8LxhkPY/hqdefault.jpg,"5개월만 참아줘^_^
 
 #동물의숲 #모동숲 #acnh 
 
 🏝섬 이름 : 아보카도🥑 / 마라도
 👩주민대표 : 아오니
 🌙꿈번지 : DA-2528-5743-8067 / DA-6351-3927-7264
 🌙해피홈 : RA-1157-2190-7226
 🌟‍인스타그램 : aonioni_
 🌟‍팬카페 : https://cafe.naver.com/aonioni
 
 [BGM 출처]
 🎵Music provided by 브금대통령
 🎵Track : 웃기고있네 - https://youtu.be/aY7VLF71pNM
 🎵Track : 이게 머선129 - https://youtu.be/gOtwGaQUbzM
 🎵Track : 도둑의 계획 - https://youtu.be/CKuI-6-Izhc
 🎵Track : 오리가족의 외출 - https://youtu.be/g84nkO4afvM
 
 Song : ODT SOUND - with my puppy
 Follow Artist : https://www.youtube.com/user/jjumini 
 Music promoted by DayDreamSound : https://youtu.be/Mk8SP4eixq4
 
 Song : NATONI - 발걸음
 Follow Artist : https://bit.ly/3FSbLlu
 Music promoted by DayDreamSound : https://youtu.be/lz1q-rZD-E8",4.72E+13
